CountryName,CountryNameOnly,CountryNameRegion,dayInfo,infected,slopeVal,varianceVal,scaledSlope,clusterInfo
Afghanistan,,Afghanistan,20.0,16.0,0.33481781376518216,0.00029725849935226354,0.0001913289250588329,2
Albania,,Albania,20.0,212.0,8.570850202429149,0.06866178006183331,0.00630153979236156,0
Algeria,,Algeria,20.0,54.0,1.660323886639676,0.00048577623871322686,0.0011747055351728343,2
Andorra,,Andorra,20.0,113.0,2.1259109311740887,0.005299975763985282,0.001520118822170727,2
Argentina,,Argentina,20.0,301.0,6.611336032388662,0.006371882086167802,0.004847800393170427,2
Armenia,,Armenia,20.0,160.0,3.604453441295546,0.007456917976668498,0.0026170312779240355,2
AustraliaNew South Wales,New South Wales,Australia,20.0,4.0,0.30769230769230765,1.1537972926328712e-08,0.00017120484659895565,2
AustraliaNorthern Territory,Northern Territory,Australia,20.0,6.0,0.15789473684210523,0.009066666666666666,6.0071875999633544e-05,2
AustraliaQueensland,Queensland,Australia,20.0,5.0,0.35425101214574894,3.7816049215792315e-06,0.00020574617529874493,2
AustraliaSouth Australia,South Australia,Australia,20.0,2.0,0.15384615384615383,5.139802631578948e-07,5.706828219965188e-05,2
AustraliaTasmania,Tasmania,Australia,20.0,22.0,0.5360323886639675,0.003955029585798816,0.0003406075369179222,2
AustraliaVictoria,Victoria,Australia,20.0,4.0,0.29514170040485826,2.212224866151101e-06,0.00016189370581901245,2
AustraliaWestern Australia,Western Australia,Australia,20.0,64.0,1.485425101214575,0.0015011756775192807,0.001044950283013626,2
Austria,,Austria,20.0,1018.0,21.50485829959514,0.0006039627606927999,0.015897120905163025,2
Azerbaijan,,Azerbaijan,20.0,53.0,1.7246963562753033,0.0021556584362139924,0.0012224626765925427,2
Bahrain,,Bahrain,20.0,214.0,9.017004048582994,0.015105253296794805,0.0066325358291195406,2
Bangladesh,,Bangladesh,20.0,48.0,2.027530364372469,0.11193289224952743,0.0014471314928311723,0
Belarus,,Belarus,20.0,51.0,1.654655870445344,0.009047300556993114,0.00117050050385286,2
Belgium,,Belgium,20.0,1.0,0.07692307692307691,0.0,0.0,2
