dayInfo,logVals,infected,Country
0,1.6094379124341003,5,Afghanistan
1,1.9459101490553132,7,Afghanistan
2,1.9459101490553132,7,Afghanistan
3,1.9459101490553132,7,Afghanistan
4,2.3978952727983707,11,Afghanistan
5,2.772588722239781,16,Afghanistan
6,3.044522437723423,21,Afghanistan
7,3.091042453358316,22,Afghanistan
8,3.091042453358316,22,Afghanistan
9,3.091042453358316,22,Afghanistan
10,3.1780538303479458,24,Afghanistan
11,3.1780538303479458,24,Afghanistan
12,3.6888794541139363,40,Afghanistan
13,3.6888794541139363,40,Afghanistan
14,4.30406509320417,74,Afghanistan
15,4.430816798843313,84,Afghanistan
16,4.543294782270004,94,Afghanistan
17,4.700480365792417,110,Afghanistan
18,4.700480365792417,110,Afghanistan
19,4.787491742782046,120,Afghanistan
20,5.135798437050262,170,Afghanistan
21,5.159055299214529,174,Afghanistan
0,2.302585092994046,10,Albania
1,2.4849066497880004,12,Albania
2,3.1354942159291497,23,Albania
3,3.4965075614664802,33,Albania
4,3.6375861597263857,38,Albania
5,3.7376696182833684,42,Albania
6,3.9318256327243257,51,Albania
7,4.007333185232471,55,Albania
8,4.07753744390572,59,Albania
9,4.1588830833596715,64,Albania
10,4.248495242049359,70,Albania
11,4.330733340286331,76,Albania
12,4.48863636973214,89,Albania
13,4.6443908991413725,104,Albania
14,4.812184355372417,123,Albania
15,4.983606621708336,146,Albania
16,5.159055299214529,174,Albania
17,5.225746673713202,186,Albania
18,5.2832037287379885,197,Albania
19,5.356586274672012,212,Albania
20,5.407171771460119,223,Albania
21,5.493061443340548,243,Albania
0,1.6094379124341003,5,Algeria
1,2.4849066497880004,12,Algeria
2,2.4849066497880004,12,Algeria
3,2.833213344056216,17,Algeria
4,2.833213344056216,17,Algeria
5,2.9444389791664403,19,Algeria
6,2.995732273553991,20,Algeria
7,2.995732273553991,20,Algeria
8,2.995732273553991,20,Algeria
9,3.1780538303479458,24,Algeria
10,3.258096538021482,26,Algeria
11,3.6109179126442243,37,Algeria
12,3.871201010907891,48,Algeria
13,3.9889840465642745,54,Algeria
14,4.0943445622221,60,Algeria
15,4.30406509320417,74,Algeria
16,4.465908118654584,87,Algeria
17,4.499809670330265,90,Algeria
